生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
古干支	古十二時, 五更, 干支, 甲乙, 十名, 子丑, 十二名, 記日, 紀歲, 閼逢, 困敦, 幹, 枝, 甲, 乙, 旃蒙, 端蒙, 丙, 游兆, 柔兆, 丁, 强圉, 强梧, 戊, 著雍, 徒維, 己, 屠維, 祝犂, 庚, 上章, 商橫, 辛, 重光, 昭陽, 壬, 橫艾, 玄黓, 癸, 昭陽, 尙章, 子, 丑, 赤奮若, 寅, 攝提格, 卯, 單閼, 亶安, 辰, 執徐, 巳, 大荒落, 午, 敦牂, 大律, 未, 協洽, 申, 涒灘, 酉, 作噩, 戌, 閹茂, 亥, 大淵獻, 古月號, 端月, 陬月, 令月, 始月, 嘉月, 寎月, 蠶月, 正陽月, 余月, 陰月, 暑月, 皐月, 季月, 朝月, 涼月, 桐月, 壯月, 桂月, 玄月, 菊月, 陽月, 良月, 辜月, 暢月, 除月, 涂月, 嚴月, 閼逢攝提格, 月名, 夜半, 朔旦, 冬至, 涒灘, 著雍, 己亥格, 庚戌制, 硩簇氏, 十日, 十有二辰, 十有二月, 十有二歲, 陬, 荼, 馮相氏, 十有二歲, 二十有八星, 四時, 十二時, 雞鳴, 平旦, 日出, 食時, 禺中, 日中, 日昳, 晡時, 日入, 黃昏, 人定, 禍福, 八字, 術數家, 王省, 惟歲, 卿士, 惟月, 庶尹, 惟日, 御事, 惟時, 晝時, 稱日, 夜時, 稱星, 稱夜, 三星, 夜中, 五夜, 漏上刻, 加卯, 加酉, 子時, 丑時, 暘谷, 十五時, 日之出沒, 寅時, 五更, 斗柄, 甲夜, 乙夜, 丙夜, 丁夜, 戊夜, 一更, 二更, 三更, 四更, 五更	正月, 二月, 三月, 四月, 五月, 六月, 七月, 八月, 九月, 十月, 十一月, 十二月, 漢, 太初元年, 秦八年, 東漢, 宋, 後周, 北齊, 漢, 魏		賈誼, 許愼, 司馬溫公, 大撓, 屈子, 呂才, 杜氏, 李虛中, 蘇綽, 項羽, 卜楚丘, 顔之推	史記·歷書, 呂氏春秋·序意篇, 資治通鑑·周紀一, 周禮, 注, 洪範, 周禮, 祿命書, 堯典, 左氏傳, 左傳注, 五雜組, 大誥, 史記, 詩, 隋志, 歷書, 漢書·五行志, 吳越春秋, 周髀經, 南齊書·天文志, 左氏傳, 淮南子, 素問, 家訓, 顔氏家訓	O_01_07_01.ann
麪包	竈			亞布剌罕	創世紀	I_01_19_11.ann
閥閱	民族, 階級, 用人, 弊, 聖骨, 眞骨, 文武兩班, 傅蘭哇, 國人, 三等, 通婚, 不許	周代, 曹魏, 新羅, 高麗	支那, 埃及			I_01_03_15.ann
旌閭墓	贈職, 克商, 式, 旌表, 板積鄕人, 孝, 租, 宅, 口分田, 立石, 被殺, 厚恤	景德王 十四年, 訥祗王 三年	新羅, 熊川州, 日本	周 武王, 比干, 商容, 向德, 朴堤上	商書尙書	I_01_08_20.ann
姓名	吹律, 定姓, 錫土姓, 爲姓, 伊祈, 君長, 有功, 賜姓, 徐氏, 食菜, 鮮于, 韓氏, 奇氏, 士師, 王姓, 朴, 金, 高氏, 駕洛王后, 許氏, 扶餘, 爲氏, 沙, 燕, 劦, 解, 眞, 國, 木, 苩, 八氏, 駕洛王, 金氏, 六部, 李, 崔, 孫, 鄭, 裵, 薛, 六氏, 姓族, 姓氏, 親王賜姓制, 華族, 姓氏錄, 改姓	檀君, 儒理王 八年, 允恭天皇 四年, 明治天皇 三年	伊祈山, 穢國, 于, 馬韓, 新羅, 高句麗, 百濟, 新羅, 我東, 日本, 泰西	黃帝, 堯, 余守己, 箕子, 仲, 王受兢, 赫居世, 味鄒王, 高辛氏, 少昊 金天氏, 拿破崙	夏書	I_01_03_03.ann
郵局打印電機	郵遞局, 受信, 轉送, 封面, 加印, 打印, 電機	十九世紀末	英國			I_01_14_03.ann
君逸臣勞	君逸, 臣勞, 人君, 北辰, 衆星, 品物, 人主, 警責, 直宿, 祀饗, 誓戒, 內竪, 摘發, 掌憲官, 休告, 喉司, 惟允, 歸謁	漢		石建		S_07_01_14.ann
兄弟姊妹	兄弟, 九人, 九皇, 九區, 君臣, 男女, 男子, 女子			人皇氏, 女媧氏, 太昊 伏羲氏, 亞當, 夏娃, 解因, 亞伯耳	世紀, 創世紀	I_01_03_07.ann
周公下士	賢王, 忘勢, 賢士, 樂道, 山澤, 高尚, 當世, 致敬, 盡禮, 白屋, 天下之士, 干謁, 屈己, 執贄, 還贄, 貌執, 聘禮, 還玉, 禮貌, 接待, 握髮吐哺, 王公, 大人, 君子, 世治			孟獻子, 周公, 程叔子	荀子	S_07_01_43.ann
痛哭而返	昭陵			南秋江, 淸寒子	丙丁錄	D_11_01_14.ann
扁舟忘返	方外交			李嵒	本	D_11_01_14.ann
天王不返				李奎報, 崔拙翁, 徐達城	龜鑑, 左傳, 詩話	D_11_01_14.ann
嘉實	六年不返					D_11_01_14.ann
匹馬無返			百濟	金武力	羅史	D_11_01_14.ann
經旬不返			狗原	阿莘王	濟史	D_11_01_14.ann
七日不返				瑠璃王	勾史	D_11_01_14.ann
昇天不返				東明王, 李承休	勝覽	D_11_01_14.ann
龍返			南陽府	鄭乙卿, 牧隱	選	D_11_01_14.ann
忘返			和平齋, 馬堤山	毅宗, 覺倪, 忠烈王	麗史	D_11_01_14.ann
兵備	忘備, 將帥, 奇正, 三軍, 無心, 隣敵, 戎器, 不虞, 聖人, 高祖, 寡命, 王家, 天下, 偃武, 君臣, 周室, 武士, 兵器, 隣國, 忘戰, 宗廟社禝			康王, 太保	萃之象	S_07_01_06.ann
藏書樓	最大, 王家書樓, 大小本書, 抄得書, 大小各圖, 古錢幣, 鋼板圖像, 新書, 英國博物院	一千五百九十五年, 紀元前 五百四十年頃, 紀元前 四十七年	法京 巴里, 雅典, 希臘, 亞歷山大	路易 十四, 畢西斯到得		I_01_04_26.ann
羅針盤	指南車, 羅針, 支那人, 十字軍, 亞剌人, 義大利人, 歐人, 磁石, 天文家	十四世紀, 十五世紀	支那, 亞剌伯, 英國	黃帝, 溢曼哈里		I_01_22_22.ann
燕享	燕饗, 大酺, 三日, 宴, 群臣	眞平王 三十七年 二月, 閔中王 二年 三月	新羅, 高句麗		周禮	I_01_08_04.ann
割麥機	英人, 刀鎌	一八五二年				I_01_16_07.ann
紅巾賊	義兵		京城	恭愍王	御天歌註	D_15_01_25.ann
隋軍大潰			隋, 薩水	乙支文德	句史	D_15_01_25.ann
河潰	發民, 築大堰, 人民困竆		百濟			D_15_01_25.ann
月中桂子	月中有桂樹, 白兎擣藥, 桂樹, 桂魄, 桂輪, 閻扶樹, 月體, 日光, 月路, 遠飛雞, 桂實	宋, 西周	須彌山, 杭州靈隱寺, 江東, 杭州天竺寺, 靈隱, 天竺, 杭州	杜甫, 吳剛, 湯如望, 湯氏, 劉績, 白樂天, 錢塘田汝成, 蒼頡, 常娥, 張衡, 羲和	遠鏡說, 霏雪錄, 本草圖經, 漢武洞冥記, 委巷叢談, 淮南子, 靈憲, 呂氏春秋, 酉陽雜俎, 五雜組	O_01_02_07.ann
笏	圭, 天子, 珠玉, 侯公, 象齒, 大夫, 魚鬚, 士, 竹札, 浚井, 古笏, 烏玉, 箕子笏, 文官, 判書, 大內, 古圭, 箕子圭, 筵官, 靑色, 所贈, 西狩, 靑玉圭, 壬辰亂, 留陣地	殷代, 國朝 中葉, 英祖 十八年, 壬辰	江陵, 襄陽, 平壤, 明, 我國	李有根, 崔逵泰, 李德壽, 高帝, 趙顯命		I_01_23_03.ann
笛	七孔, 笛賦, 義嘴笛, 西洋人西梁人, 玉笛, 萬波息笛, 官庫		楚, 漢, 新羅, 東京	黃帝, 伶倫, 宋玉, 李延年, 神文王		I_01_21_14.ann
鯀	禹					D_11_01_32.ann
鯀	洪水, 天下, 咸服, 聖世, 四凶, 窮奇, 饕餮, 逆人, 天下, 蒼生, 洪水, 祀典, 血食	堯	羽山	原	楚詞, 惜誦, 祭法, 書經疾書	S_07_01_04.ann
才難	五人, 亂臣, 十人, 婦人, 九人, 聖人, 功利之說, 智力, 爲邦, 治天下, 諸門, 短命, 出舉, 誠篤, 魯鈍, 頴悟, 輕淺, 文彩, 實學, 六經	唐虞, 周		舜, 武王, 孔子, 顔氏, 周公		S_07_01_81.ann
卜筮	八卦, 龜, 卜, 兆象, 占, 筮, 蓍	殷, 欽明皇	日本, 百濟	庖羲氏, 巫咸	古史考	I_01_25_02.ann
鉛筆	竹簡, 漆, 書, 劃, 刀筆, 鉛槧, 槧, 粉板	十六世紀	西洋			I_01_04_23.ann
番椒	苦椒, 熱帶地, 移來, 苦椒醬	高麗	我國, 蒙古			I_01_26_14.ann
風穴	大塊, 噓氣, 風, 大風穴, 洞穴, 小風穴, 石, 石體, 土性, 土囊, 空隙, 寒氣, 暖氣, 水, 山窟, 出風處, 湧水處, 通氣, 吸氣, 噓氣, 風井	驚蟄	太原縣, 風峪, 龍兌, 四風穴, 雁宕大龍湫, 嶺南義城縣, 湖西淸風府, 北倉錦屛山, 淸風郡, 屛風山, 宜都狼山	朱錫鬯, 方宓山以智, 李福信, 李睟光, 宋玉	石刻佛經記, 括地志, 芝峯類說, 荊州記, 風賦	O_01_03_04.ann
渾蓋通憲儀	渾天圓儀, 塑像, 蓋天平儀, 繪像, 渾蓋之器, 渾球, 琉璃之片, 圓球, 經緯, 中密, 外疏, 切線, 渾天, 正視, 北極, 中心, 晝長規, 赤道規, 晝短規, 七政, 躔離, 時刻, 南極, 北極, 人目, 視法之理, 勾股, 割圜, 梁天監, 九十六整刻, 臺官, 通憲平儀, 笵銅, 絶寶, 模製, 雲館	英廟朝	中夏, 西方, 中國, 梁, 北平, 我東	西泰, 梅文鼎, 利瑪竇, 靈恩, 司天氏, 徐五費太學士, 有榘, 徐左蘇山人, 有本	渾蓋通憲, 歷學疑問補, 南史·梁·崔靈恩傳	O_01_05_13.ann
角觝	曼衍, 魚龍, 相對, 互角, 蚩尤, 端午日, 京鄕, 角戱, 內句, 外句, 支那人, 高麗技法, 角力相撲, 角力, 天明	高麗, 垂仁皇	支那, 我國, 日本, 泰西	漢 武帝, 也及	創世紀	I_01_24_04.ann
馬之別種	騏, 騣, 駮, 世不常有, 驨, 一角, 一角大者曰麟, 馬一角者名驨, 駮産於西方, 形如馬而質白, 一角黑尾, 能食虎豹, 似馬而非馬	元康八年	九眞郡, 秦州, 山東萊州	王士禎, 鈕琇, 戈二	爾雅·釋獸篇, 池北偶談, 王會圖, 山海經, 王會解, 騈雅, 東坡志林, 同文類解, 觚賸	O_19_02_09.ann
高仁坦	明威將軍		耽羅, 日本	安撫使適, 元帝		D_11_02_02.ann
毬場平坦				崔瑀	麗史	D_11_02_02.ann
平坦				韓確		D_11_02_02.ann
挽索	挈河, 正月 上元日, 村里, 農民, 角力		我朝			I_01_24_22.ann
䰒鬆花	雪花, 霜花, 風花, 雪片, 花瓣, 芒角, 風潮, 花友, 稱友, 盛衰, 低昂, 稗說, 浪費, 花費, 齊魯人, 霧淞, 歲穰之兆, 䰒鬆, 霰, 氷蕊, 十月凍樹, 早黍, 十一月凍樹, 中黍, 十二月凍樹, 晩黍, 凍樹		我東		墨莊漫錄	O_01_08_03.ann
荒地開墾	耕地之法					D_11_01_39.ann
官禁耕墾		天順辛巳	鴨綠江, 威化島		勝覽	D_11_01_39.ann
新墾				李穡	時務書	D_11_01_39.ann
燒墾					益齋	D_11_01_39.ann
釦鈕	象牙, 玻瓈, 獸骨	十四世紀初	德	尼換堡		I_01_18_21.ann
野戱	儺禮都監, 唐女, 小梅, 戱劇, 娼女, 歌舞, 美女	高麗	我朝, 禮成江, 支那			I_01_24_03.ann
天地之散	陰陽			李詹	散步圖記	D_11_02_03.ann
撥雲散				明公, 南冥	答退溪書	D_11_02_03.ann
疎散				李混	麗史	D_11_02_03.ann
割禮	男子, 陰莖, 包皮, 割去, 女子, 陰私, 神, 世世子孫, 守約			亞布剌罕	創世紀	I_01_07_13.ann
鄕飮酒	養老, 周制, 養老禮, 巡國內, 老嫗, 凍餒, 衣食, 老病, 賑給, 親問, 高年, 賜穀, 南堂, 穀帛, 鰥寡, 孤獨	新羅 儒理王 五年, 婆娑王 十四年, 訥祗王 七年, 高句麗 太祖王 六十六年	古所夫里郡		禮記	I_01_08_08.ann
旁羅	測象, 儀器, 璣衡之象, 璿璣玉衡, 七政, 冬至, 牽牛, 六項, 旁蠡, 十二項, 順數, 却, 測天度, 渾天儀, 日晷, 地羅, 璣衡之祖原, 渾儀之制, 天梁, 地平, 天體, 四游儀, 赤道, 望筩橫簫, 游儀, 躔離, 六合, 三辰, 四游, 黃道儀	舜時, 皇明		包犧, 帝嚳, 羲和, 舜, 舜, 黃帝, 陸佐公, 鄭玄, 楊升菴用修, 王蕃, 李淳風, 一行, 張衡, 洛下閎, 耿壽昌	虞書, 史記, 文選, 新刻漏銘, 尙書考·靈曜	O_01_05_17.ann
銘	鼎銘, 盤盂			禹, 湯		I_01_04_09.ann
箴	虞人之箴		周	辛甲		I_01_04_09.ann
頌	龍袞頌, 商頌 十二篇		商	黃帝		I_01_04_09.ann
賦	比, 興, 風, 雅, 頌, 六義, 楚辭, 詞賦		楚	屈原	詩傳	I_01_04_09.ann
銀	白金, 金屬, 最遲, 黃金, 物價, 標準, 貢, 金三品, 銅, 男女, 爲飾, 山中	一千七百四十一年	楊州, 濊國, 歐洲, 亞美利加, 俄國		創世紀, 禹貢, 魏志	I_01_27_02.ann
銅	靑銅, 白銅, 混合, 黃金, 精銅器, 沃金, 赤銅, 鉼, 錫, 堅硬, 武器, 諸器, 鑄造, 便利, 靑銅器, 多用, 靑銅時代		西洋, 首山	黃帝	舊約全書	I_01_27_03.ann
孔雀	羽族之美麗者, 吉光, 鷫鸘, 如鳳凰毛羽艶彩可愛, 翡翠, 錦雞, 崖雞, 彩鳥, 肖明, 么鳳, 桐花鳳, 無對鳥, 尾絶世美彩, 海綠空靑, 金剛貓睛, 孔雀狀如鸛, 生高山喬木之上, 雄者尾長數尺, 屛生三年尾始長, 孔雀尾有毒, 古人借此以名美人, 孔雀雄者 尾短無金碧, 雄者生三年有小尾 五年成大尾, 雨不能高飛, 見人彩衣必啄之, 聞絃歌 張翅而舞, 見人釘靴持雨傘逐啄之, 煮食 味似鵝 解百藥毒, 其首血能酖人, 人拍其尾則舞, 毛尾金翠, 見童兒女著錦綺 必趁啄之, 先擇處貯尾然後置身, 孔雀與蛇交, 孔雀聞雷聲而孕, 都護, 孔雀膽毒能殺人, 孔雀辟惡, 鳳凰飛天 則孔雀怖逃入家內, 南海之濱 以孔雀羽苴履, 孔雀食壁錢生, 切不可與鹹酸, 雜食則減其精神, 飼孔雀以猪腸及生菜, 惟不食菘, 孔雀病 飼以鐵水, 孔雀能參天文, 中國古人 以孔雀爲夫子家禽者	漢武時, 神宗初, 正廟時, 皇明正德, 唐貞元末, 推古六年, 眞平王二十年	明秦, 廣東香山縣, 爪哇島, 高麗松都, 新羅, 摩伽佗國, 安南國, 日本	王士禎, 趙統, 陳眉公, 劉繢, 李贊皇, 南懷仁, 車若松, 奇洪壽, 柳泠齋得恭, 德宗, 李時珍, 宗奭, 宋彭乘, 釋氏, 宋湯垕, 宋徽宗, 舍人親王, 朴燕巖, 黃尨村, 利西泰	禽經, 香祖筆記, 驪山集·崖雞, 物類相感志, 祕笈, 霏雪錄, 池北偶談, 坤輿外紀, 高麗史, 二十一都懷古詩, 本草綱目, 李義山詩注, 山棲時, 墨客揮犀, 酉陽雜俎, 茅亭客話, 淸脾錄, 物理書, 和漢三才圖會, 趙完璧傳, 畫鑑, 日本記, 熱河日記, 嶺南雜記, 花鏡, 地球後天星象圖	O_19_01_08.ann
治盜	盜賊, 良氓, 國家, 外冦, 義營, 將佐, 官府, 軍兵, 保戶, 贖錢, 將校, 笞罰, 貧民, 王政	柴周	黃, 平, 新鄭	竇儼		S_07_01_03.ann
木板	印刷術, 書籍, 竹簡, 簡編, 造紙, 傳寫, 印刷, 漢儒, 五經, 刻石, 白虎觀, 木板鋟刊, 廣行, 大藏經, 鋟榟, 海印寺, 印刷銅板, 印書法, 格物書, 飜印, 貧民聖書, 板刻, 煉化石, 凹字, 瓦刻	五季, 稱德皇, 西曆 一千四百三十年, 四七四年, 十四世紀	新羅, 日本, 英, 偉斯德明斯德, 巴比倫尼亞	和凝, 哀莊王, 古典伯, 偉良考克斯登		I_01_04_16.ann
火藥	中古, 煑製, 近代, 淸人, 煑硝方, 提調, 僧吒, 火藥法	仁祖, 肅宗 壬申, 十三世紀末	支那, 我東, 平安道, 日本, 英國	成根, 李完元豊曙, 漢韓世龍, 閔判書就道, 譯人 金指南, 南相九萬, 倍根		I_01_11_16.ann
諡法	列帝, 諡號, 幼名, 冠字, 周制, 先王, 尊名, 節, 壹惠	東明王, 智證王, 文周王, 孝謙皇	支那, 我國, 高句麗, 新羅, 百濟, 日本	周公, 淡海三船, 神武	禮記, 表記	I_01_08_22.ann
天儀	天體, 渾天儀, 宣夜, 周髀法, 盖天, 渾儀, 璿璣玉衡, 大小簡儀, 渾儀像, 新法天文圖, 書雲觀, 天文局	夏禹, 世宗 十四年, 靈天元皇時靈元天皇時	日本	賀道養, 顓頊, 黃帝, 舜, 鄭招, 蔣英蔣英實	渾天紀, 劉氏曆正	I_01_01_03.ann
都城	留都大將		都城, 京師, 松都, 宋, 汴都, 朱雀橋, 福州, 京城	孟子, 退之, 李綱, 種師道, 明皇, 紅頭, 恭愍王, 聖祖	孟子	S_01_01_03.ann
君之祭肉	貴嬪, 膳饗, 諸宰, 宮嬪, 退膳, 士大夫, 私廟, 高尚, 擇義不精之過, 正席, 先嘗, 膳夫, 祭祀, 致福, 諸臣, 餘肉, 王膳, 受脤, 歸脤, 不敬	壬辰	龍灣	鄭相澈, 孔子, 子産	周禮天官, 左傳昭公十六年, 夏官祭僕	S_07_01_52.ann
觀天器	日輪純, 儀象諸器, 渾天儀, 壬辰兵火, 漏器, 簡儀, 渾象, 璣衡, 水激, 天文, 曆數, 点星臺, 天度, 天文學	中宗 二十年, 明宗 三年, 宣祖, 三十四年, 孝宗 八年, 天武天皇	金堤, 日本	李純, 李恒福, 崔攸之	天官書, 漢晋天文志	I_01_01_21.ann
箏	薄義, 父子, 瑟, 十三絃, 筑		支那, 秦	蒙恬		I_01_21_10.ann
二十八宿						J_01_01_03.ann
五星	歲星					J_01_01_03.ann
日影隙光野火靑燐	光影, 罅隙之光, 野外之火, 隙光, 圓光, 日影, 鬼火, 膏血, 陰昏之氣, 脂血之氣, 飛燐, 太陽之氣, 陰火, 雷火, 脂膏血濺, 孼火, 馬血, 人血, 陰氣			方中通, 僧適之, 揭暄	物理小識, 金壺字考, 列子·天瑞篇, 衝夜行, 衍文長箋·火辨證說	O_01_02_03.ann
穀爲鼠損	士之志			東峯	與柳襄陽自漢書	D_11_01_28.ann
種晩穀損	地濕而腴者				衿陽雜錄	D_11_01_28.ann
欹器	挹損, 侑坐之器, 禹之不自滿暇, 文王之小心翼翼			禹, 文王	九經衍義	D_11_01_28.ann
退損				崔寧城	墓誌	D_11_01_28.ann
大戰敗北			新羅, 公山, 美理寺	甄萱, 太祖	勝覽	D_15_01_08.ann
佯北	掩擊大破		百濟, 玉門谷	金庾信	羅史	D_15_01_08.ann
不忘貧賤	財, 富, 爵, 貴, 天子, 庶人, 禮, 卑不學恭, 貧不學儉, 貴富, 恭儉, 治邦, 驕侈, 鬌, 殯, 說髦, 孝子, 挾囟午達之禮, 佩用, 貧賤, 世敎					S_07_01_69.ann
鳥能馱物	鳥之馱載者, 厄馬, 駝雞, 鶤, 天鵝, 駱駝鳥		中國, 東北外夷, 白露國, 阿蘭陀, 肥州長崎, 南亞墨利加州	南懷仁, 尤西堂侗	坤輿外紀, 外國竹枝詞, 和漢三才圖會, 爾雅, 食鑑	O_19_01_20.ann
舟船	柁, 龜船, 水戰, 船工, 韓風, 造船術, 全羅左水使, 海鶻船, 浮板, 水營, 枯野, 船制, 兩歧舟, 獨木船, 埴生舟埴土舟, 豫章舟橡樟舟, 天盤船, 天鳩船, 汽船, 海軍士官, 古力亞門號, 汽船航海	漢, 宣祖 壬辰, 應神天皇 三十一年, 新羅時代, 英祖 十六年, 開化天皇 十七年, 應神天皇 五年, 一千七百九十七年, 一千七百八十九年	番禺, 南海, 我國, 攝津 武庫港, 新羅, 日本, 伊豆, 西班牙, 合衆國, 哈德孫河, 紐育, 亞耳巴尼, 英, 科斯及古禮德 運河	黃帝, 共鼓, 貨狄, 虞姁, 淫梁, 楊泉, 化狐, 束晳, 伯益, 張平, 李忠武公舜臣, 田雲祥, 及布拉斯可德家勒, 夫耳頓, 司民頓	世本, 呂氏春秋, 山海經, 物理論, 發蒙記, 日本風俗史	I_01_22_02.ann
六環儀	六環, 渾天儀, 密切, 測候, 狹小制度, 簡易, 渾蓋通憲儀, 鑄銅, 竹木鐵	歲癸卯, 憲宗九年	南京	多祿某, 依巴谷, 西泰, 周文勤		O_01_05_14.ann
媚獸	反噬其主, 倒戈下石, 媚虎, 媚猴, 六駮, 狨, 盧, 猱, 虎返爲媚而竟死, 狐狸之不媚而保其身	唐以前, 宋太平興國, 天禧元年	山東萊州	鈕琇, 戈二, 吳震方, 陳鼎, 陳繼儒	觚賸, 嶺南雜記, 黃山史槪, 眉公祕笈	O_19_02_02.ann
不能飯				鄭河東	閒話	D_11_01_22.ann
能飯			龍州	秋適		D_11_01_22.ann
牙旗	將軍旗, 軍中, 牙門, 旌旗, 麾旄, 旄麾, 指麾, 黃鉞, 白旄, 信旛, 徽章	黃帝, 三代	支那	武王	書傳	I_01_11_07.ann
筭術	大衍, 九章, 國子, 六藝, 僧侶, 乘筭九九	黃帝	唐, 宋, 西洋, 希臘, 埃及	隸首, 周公, 保氏, 一行, 邵雍, 康節, 地利斯, 皮斯哥剌斯	周易	I_01_05_08.ann
盤	盤瓠, 盤銘			高辛氏, 殷湯	搜神記, 禮記	I_01_23_25.ann
紀元	造曆, 辛卯, 乙卯, 後元年, 卽位, 建元 元年, 歷代 帝王, 元號, 功業, 慶瑞, 定例, 孔子降生, 庚戌年, 建元, 天授, 開國紀元, 大化, 改元, 基督降生, 基督敎國, 定規, 衣斯拉以兒人, 猶太一族, 天地創造, 逃於密加之年, 希齋拉	近世, 檀君朝鮮, 大韓, 孝德天皇 乙巳, 神武天皇, 西曆 五百三十年頃	日本, 泰西, 回回敎國	黃帝, 顓頊, 漢文帝 劉恒, 武帝 劉徹, 康有爲, 梁啓超, 新羅 法興王, 高麗 太祖, 羅馬僧 帶柯尼阿斯, 馬河邈		I_01_01_11.ann
術家	峻元, 大亨, 弘利, 碩貞, 明月淸風, 先後天之數, 貴賤, 貧富, 壽夭, 大小科之年, 己姓, 妻姓, 父母之年, 天命, 四柱, 書籍, 後世, 國朝			鄭希良		S_07_01_51.ann
梳篦	木梳, 匈奴, 梳, 篦, 細梳			赫胥氏, 孝文帝	二儀實錄, 漢書	I_01_23_17.ann
馳下峻坂			和寧	我太祖	御天歌註	D_11_01_13.ann
麥坂				佔畢齋		D_11_01_13.ann
穿坂	僉議餞送			辛旽		D_11_01_13.ann
竹坂	松山王			崔忠獻, 高宗	麗史	D_11_01_13.ann
紡織	織文, 女工, 織麻法, 生麻, 紡織機器	雄略天皇 十四年, 一三三一年, 一六八五年, 一八八九年	日本, 吳, 英, 史畢答 得爾斐	漢織, 吳織, 段奇拉	書 禹貢	I_01_17_09.ann
雷珠	雷, 陽相薄之聲, 雷丸, 雷墨, 雷楔, 雷斧, 火土之氣, 石, 銅, 以雷燒石投井, 雷石, 左旋, 神龍, 夜光, 明珠, 明月之珠, 不世之珍, 蜈蚣, 龍腦, 龍震	淸	慶州府	蔡季通, 聖祖, 李時珍, 徐四佳, 鄭發	熙朝新語, 篔窓筆記, 說郛, 本草綱目, 筆苑雜記, 五雜組, 述異記	O_01_03_09.ann
山	爲山, 地球, 開闢, 成立, 地質學術, 異時, 原質, 水成岩, 砂岩, 巒岩, 石炭石, 太古, 海水中, 介殼, 珊瑚, 海膽, 海生物, 遺體, 山顚, 海底, 海水, 凝結, 波浪, 岩石, 海物, 螺殼, 泰西 學術		泰西, 宋	朱子(憙)		I_01_02_05.ann
履	木屐, 履屝, 屩, 屐, 抱樹自死, 撫樹哀歎, 爲屐, 足下			黃帝, 於則, 晋 文公, 介之推	東方朔瑣語	I_01_18_16.ann
長靴	胡服, 黃皮, 靿, 長靿靴, 軍戎, 通服			趙 武靈王		I_01_18_15.ann
日晷測法	日至, 地中, 大司徒, 土圭, 日景, 冬至, 晷長, 春分, 夏至, 秋分, 日景의 表, 始制, 仰釜日晷, 日星定時, 圭表, 始制	世宗 二十年	本朝	周公	周禮	I_01_01_06.ann
雕象術	雕繪, 九鼎, 五方神鬼之像, 百獸, 雕刻, 金鐵雕刻, 工藝, 木鳶, 九州圖, 木, 石, 陶, 瓦, 古刹, 浮屠, 珍品, 彫刻術, 工人, 膠粘, 象牙, 堅石	黃帝	東洋, 燉煌, 洛城 石室山, 我國, 日本, 高句麗, 百濟, 西洋, 希臘	夏禹, 任昉, 魯班, 鳥佛師	述異記	I_01_13_01.ann
自行車	梓匠, 輪輿, 郢斤, 車人, 自鳴鍾機輪, 一間小屋, 丁輪, 堅鐵, 軸齒, 丁齒, 丙齒, 乙齒, 甲齒, 甲軸, 乙軸, 丙軸, 乙輪, 丙輪, 甲輪, 流馬, 木牛, 乘人, 運重, 催行, 櫍, 十度之輪, 九度之輪, 八度之輪, 七度之輪, 六度之輪, 五度之輪, 四度之輪, 三度之輪, 發輪, 二度之輪, 接輪, 懸重之輪, 飛輪, 斜櫍, 任挽之輪, 樞, 柱, 指導, 維谷衝碎之患, 丁字車, 櫓車, 舟子之搖櫓狀	明, 淸		鄧玉函, 東原戴震		O_10_01_09.ann
木棉	吉貝, 梵書, 睒婆, 被謫, 宥歸, 種子, 得來	恭愍王	雲南, 交趾, 高麗, 元, 我國	江城君 文益漸		I_01_26_01.ann
